match_id,radiant_win,duration,radiant_gold,dire_gold,radiant_gold_div,radiant_xp,dire_xp,radiant_xp_div,radiant_wards,dire_wards,radiant_wards_div,radiant_towers_destroyed,dire_towers_destroyed,radiant_towers_destroyed_div
8769901157,False,3327,11423,12052,-629,12363,13984,-1621,9,10,-1,0,0,0
8769901153,False,3064,11731,13742,-2011,12756,15933,-3177,10,11,-1,0,0,0
8769901150,False,2597,11777,11809,-32,13376,12839,537,7,7,0,0,0,0
8769901149,True,1509,16631,12250,4381,16406,12229,4177,8,9,-1,0,0,0
8769901148,True,2941,9609,15086,-5477,11566,15108,-3542,8,7,1,0,0,0
8769901147,True,1580,15199,11702,3497,16170,12880,3290,8,11,-3,0,0,0
8769901145,True,2198,13161,12455,706,14179,12798,1381,11,11,0,0,0,0
8769901134,True,2207,13498,11497,2001,14732,11552,3180,8,5,3,0,0,0
8769901110,True,2290,11684,11617,67,13306,12914,392,5,4,1,0,0,0
8769901106,False,3075,10832,12337,-1505,13829,13374,455,7,9,-2,0,0,0
8769901105,True,2854,9844,11747,-1903,12636,13566,-930,10,12,-2,0,0,0
8769901075,False,3065,10954,13399,-2445,13397,13768,-371,11,8,3,0,0,0
8769901046,True,2948,11616,11529,87,12641,13844,-1203,9,5,4,0,0,0
8769901040,True,3208,12552,11657,895,13801,13951,-150,11,9,2,0,0,0
8769900974,False,2534,11792,11128,664,13599,12487,1112,8,10,-2,0,0,0
8769900947,True,2597,12696,12828,-132,14286,13542,744,6,9,-3,0,0,0
8769900907,True,3004,11786,12148,-362,13344,13195,149,12,8,4,0,0,0
8769900888,False,2205,10949,10509,440,13748,13082,666,2,6,-4,0,0,0
8769900886,False,2221,11106,11471,-365,13176,14447,-1271,13,11,2,0,0,0
8769900883,True,2134,12459,13157,-698,13125,14836,-1711,7,9,-2,0,0,0
8769900852,False,2901,11826,10050,1776,14793,13244,1549,7,12,-5,0,0,0
8769900841,False,2217,11841,13950,-2109,11883,13867,-1984,8,9,-1,0,0,0
8769900797,True,1673,14464,10685,3779,15314,12687,2627,12,6,6,0,0,0
8769900629,False,3587,10445,11691,-1246,12872,13222,-350,9,12,-3,0,0,0
8769900628,True,3666,12479,14498,-2019,12978,15127,-2149,9,8,1,0,0,0
8769900615,False,2061,12473,16246,-3773,12638,17755,-5117,13,12,1,0,0,0
8769900609,True,3512,12497,11596,901,14299,12517,1782,12,11,1,0,0,0
8769900583,False,1555,9501,16068,-6567,11830,16073,-4243,14,11,3,0,0,0
8769900564,True,1526,15027,11459,3568,15090,11617,3473,5,10,-5,0,0,0
8769900538,True,1606,14574,11934,2640,15221,12399,2822,11,6,5,0,0,0
8769900533,True,1624,14390,9837,4553,14578,11475,3103,12,14,-2,0,0,0
8769903220,False,2256,11104,11018,86,11764,13155,-1391,14,7,7,0,0,0
8769903184,False,2157,11638,11886,-248,12656,13432,-776,8,6,2,0,0,0
8769903168,False,2836,13116,10902,2214,13482,12494,988,11,9,2,0,0,0
8769903147,False,3443,11694,12450,-756,12572,15164,-2592,12,11,1,0,0,0
8769903127,True,3134,12578,11142,1436,12683,12737,-54,9,14,-5,0,0,0
8769903121,False,3229,13322,10755,2567,14492,12103,2389,7,8,-1,0,0,0
8769903079,True,2333,14024,10199,3825,15423,11393,4030,5,8,-3,0,0,0
8769903036,False,2257,11107,11170,-63,13150,13625,-475,4,12,-8,0,0,0
8769902935,False,3302,13456,12734,722,15097,14405,692,8,9,-1,0,0,0
8769902929,False,1630,11619,12246,-627,12646,13873,-1227,8,11,-3,0,0,0
8769902925,False,3207,11079,10517,562,12320,12491,-171,10,8,2,0,0,0
8769902896,False,1665,10621,12837,-2216,11958,15906,-3948,11,10,1,0,0,0
8769902832,True,2056,14284,14840,-556,14254,15697,-1443,6,9,-3,0,0,0
8769902820,True,2759,10799,13635,-2836,12505,15062,-2557,9,3,6,0,0,0
8769902762,False,2215,13057,12849,208,14349,13574,775,6,12,-6,0,0,0
8769902757,False,1767,10239,11565,-1326,12130,13045,-915,2,6,-4,0,0,0
8769902714,True,2246,13363,11692,1671,14657,13808,849,13,11,2,0,0,0
8769902698,True,1443,13048,11510,1538,14435,12276,2159,2,8,-6,0,0,0
8769902672,False,1464,12448,14570,-2122,12432,14836,-2404,9,9,0,0,0,0
8769902665,False,3135,10580,14918,-4338,11670,14743,-3073,12,9,3,0,0,0
8769902661,False,2513,11174,12893,-1719,13172,13429,-257,13,9,4,0,0,0
8769902640,True,2867,13248,12650,598,12640,15154,-2514,8,8,0,0,0,0
8769902637,False,1559,12721,13661,-940,14459,14750,-291,7,13,-6,0,0,0
8769902614,True,3148,16624,13948,2676,16175,14178,1997,13,8,5,0,0,0
